Kreis	Gemeinde	Typ	Hersteller	Nabenhöhe	Rotordurchmesser	Schallleistung	Leistung	Leistungsbezug	Ostwert	Nordwert	Genehmigt_am	Inbetriebnahme	Status	BST_Nr	ANL_Nr	Datendatum	Datenquelle	Status Art	Leistungseinheit	UTM Zone	Laengengrad_Dezimal	Breitengrad_Dezimal	Laengengrad	Breitenengrad
Dithmarschen	Albersdorf	Vestas  V112 3.3	Vestas	119	112	106,5 dB(A)/106,5 dB(A)	3450	kW Nennleist. Rotor.	516928	5998977	7102013	11062014	in Betrieb	51001900011	0004	3012023	LLUR SH, Abtl. 7	aktiv		32	54.13863087587336	9.259109347750776	54:8:19.1	9:15:32.8
Dithmarschen	Albersdorf	Vestas V112 3.3	Vestas	119	112	106,5 dB(A)/106,5 dB(A)	3450	kW Nennleist. Rotor.	517034	5998625	7102013	11062014	in Betrieb	51001900011	0005	3012023	LLUR SH, Abtl. 7	aktiv		32	54.135463731700675	9.260711955402455	54:8:7.7	9:15:38.6
Dithmarschen	Albersdorf	Vestas V112 3.3	Vestas	94	112	106,5 dB(A)/104,8 dB(A)	3300	kW Nennleist. Rotor.	516771	5998370	19062014	9062015	in Betrieb	51001900011	0006	3012023	LLUR SH, Abtl. 7	aktiv		32	54.13318053655279	9.256672514836056	54:7:59.4	9:15:24.0
Dithmarschen	Barlt	WKA Repower 3.4M	REpower	98	104	105,6 dB(A)/105,6 dB(A)	3400	kW Nennleist. Rotor.	501310	5985045	2092011	15032012	in Betrieb	51006000021	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.01368995708073	9.019991443591488	54:0:49.3	9:1:12.0
Dithmarschen	Barlt	WKA Repower 3.4M	REpower	98	104	105,6 dB(A)/105,6 dB(A)	3400	kW Nennleist. Rotor.	501312	5984751	2092011	6042012	in Betrieb	51006000022	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.0110475099539	9.020020696342312	54:0:39.8	9:1:12.1
Dithmarschen	Barlt	Vestas V117-3.45	Vestas	91,5	117	NUR TAGBETRIEB MIT: HZ /dB(A) | 63/86,2 | 125/95 | 250/99,3 | 500/102,5 | 1000/101,2 | 2000/99,2 | 4000/94,9 | 8000/ | SLP=107,4 dB(A)	3450	kW Nennleist. Rotor.	505436	5983461			im Gen.Verf.	51006000023	0001	3012023	LLUR SH, Abtl. 7	inaktiv		32	53.99942616870032	9.08292850783722	53:59:57.9	9:4:58.5
Dithmarschen	Barlt	WKA Repower 3.4M	REpower	98	104	105,6 dB(A)/105,6 dB(A)	3400	kW Nennleist. Rotor.	500871	5984861	2092011	26032012	in Betrieb	51006506684	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.01203711123088	9.013291494068307	54:0:43.3	9:0:47.8
Dithmarschen	Barlt	WKA Repower 3.4 M 	REpower	98	104	105,6dB(A)/105,6 dB(A)	3400	kW Nennleist. Rotor.	500950	5985172	2092011	24042012	in Betrieb	51006506684	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	54.01483220780658	9.014498008820116	54:0:53.4	9:0:52.2
Dithmarschen	Barlt	Vestas V39	Vestas	40,5	39	103	500	kW Nennleist. Rotor.	501835	5987736	31121899	31121899	in Betrieb	51006506688	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.037874736056956	9.028019533423334	54:2:16.3	9:1:40.9
Dithmarschen	Barlt	WKA Enercon E101	Enercon	99	101	106,0 dB(A), 104,4dB(A)	3050	kW Nennleist. Rotor.	504637	5984541	15082014	3082015	in Betrieb	51006506692	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.009140895949685	9.07075589331246	54:0:32.9	9:4:14.7
Dithmarschen	Barlt	WKA Enercon E101	Enercon	99	101	106,0 dB(A), 106,0 dB(A)	3050	kW Nennleist. Rotor.	505285	5984584	15082014	3092015	in Betrieb	51006506692	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	54.00952114934572	9.080644449866671	54:0:34.3	9:4:50.3
Dithmarschen	Barlt	WKA 3 Enercon E101	Enercon	99	101	106dB(A), 106dB(A)	3050	kW Nennleist. Rotor.	505006	5984301	15082014	1102015	in Betrieb	51006506692	0003	3012023	LLUR SH, Abtl. 7	aktiv		32	54.00698035492925	9.076382501742485	54:0:25.1	9:4:35.0
Dithmarschen	Barlt	WKA 4 Enercon E101	Enercon	99	101	106,0 dB(A), 106,0 dB(A)	3050	kW Nennleist. Rotor.	503858	5983256	15082014	14092015	in Betrieb	51006506692	0004	3012023	LLUR SH, Abtl. 7	aktiv		32	53.99759784312272	9.058852860173161	53:59:51.4	9:3:31.9
Dithmarschen	Barlt	WKA 5 Enercon E101	Enercon	99	101	106,0 dB(A), 104,0 dB(A) 	3050	kW Nennleist. Rotor.	504280	5983200	15082014	14092015	in Betrieb	51006506692	0005	3012023	LLUR SH, Abtl. 7	aktiv		32	53.99709119566376	9.065289576569986	53:59:49.5	9:3:55.0
Dithmarschen	Barlt	WKA 1 REpower 3.2M114	REpower	93	114	105,2 dB(A), 103,7dB(A)	3200	kW Nennleist. Rotor.	505189	5983955	6082014	28042015	in Betrieb	51006506693	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.00386873482302	9.079168845733024	54:0:13.9	9:4:45.0
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 105,2dB(A)	3200	kW Nennleist. Rotor.	505721	5983498	6082014	23042015	in Betrieb	51006506694	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.999755643213625	9.087276995054062	53:59:59.1	9:5:14.2
Dithmarschen	Barlt	WKA REpower 3.2M114	REpower	93	114	105,2 dB(A)/105,2 dB(A)	3170	kW Nennleist. Rotor.	500684	5985304	11022015	3032016	in Betrieb	51006506695	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.016019030785955	9.010438863422438	54:0:57.7	9:0:37.6
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 104,3dB(A)	3200	kW Nennleist. Rotor.	504599	5984159	6082014	9062015	in Betrieb	51006506696	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	54.00570785825801	9.070170276653672	54:0:20.5	9:4:12.6
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 104,7dB(A)	3200	kW Nennleist. Rotor.	504761	5983821	6082014	23062015	in Betrieb	51006506696	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	54.002668478622454	9.072636736353342	54:0:9.6	9:4:21.5
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 103,3dB(A)	3200	kW Nennleist. Rotor.	504362	5983845	6082014	24062015	in Betrieb	51006506696	0003	3012023	LLUR SH, Abtl. 7	aktiv		32	54.002887712483	9.066549696432435	54:0:10.4	9:3:59.6
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 104,2 dB(A)	3200	kW Nennleist. Rotor.	504565	5983531	6082014	3072015	in Betrieb	51006506696	0004	3012023	LLUR SH, Abtl. 7	aktiv		32	54.00006375478747	9.06964209180576	54:0:0.2	9:4:10.7
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 104,0dB(A)	3200	kW Nennleist. Rotor.	504162	5983577	6082014	9072015	in Betrieb	51006506696	0005	3012023	LLUR SH, Abtl. 7	aktiv		32	54.000480603303956	9.063494694009377	54:0:1.7	9:3:48.6
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 105,2 dB(A)	3200	kW Nennleist. Rotor.	505584	5983915	6082014	28052015	in Betrieb	51006506696	0006	3012023	LLUR SH, Abtl. 7	aktiv		32	54.00350509882616	9.08519464023213	54:0:12.6	9:5:6.7
Dithmarschen	Barlt	WKA 6 REpower 3.2M 114	REpower	93	114	105,2 dB(A), 105,2dB(A)	3200	kW Nennleist. Rotor.	505479	5984209	6082014	29062015	in Betrieb	51006506696	0007	3012023	LLUR SH, Abtl. 7	aktiv		32	54.00614866619274	9.083597960615556	54:0:22.1	9:5:1.0
Dithmarschen	Brunsbüttel	WKA 2 REpower 3.4 M	REpower	80	104	105,6 dB(A), 100 dB(A)	3400	kW Nennleist. Rotor.	505375	5975134	1082014	8102015	in Betrieb	51011003789	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92458402025597	9.081851182764996	53:55:28.5	9:4:54.7
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104 dB(A)tags; 103 dB(A) nachts	2000	kW Nennleist. Rotor.	505505	5972178	20122007	26112010	in Betrieb	51011003790	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.898014005039926	9.083777647631349	53:53:52.9	9:5:1.6
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 103,8dB(A) nachts 	2000	kW Nennleist. Rotor.	504611	5972535	20122007	26112010	in Betrieb	51011003790	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	53.90123146524709	9.070177729358603	53:54:4.4	9:4:12.6
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 103,8 dB(A) nachts	2000	kW Nennleist. Rotor.	504387	5972614	20122007	26112010	in Betrieb	51011003790	0003	3012023	LLUR SH, Abtl. 7	aktiv		32	53.901943466060914	9.066769666251304	53:54:7.0	9:4:0.4
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 102,5dB(A) nachts	2000	kW Nennleist. Rotor.	504734	5972726	20122007	26112010	in Betrieb	51011003790	0004	3012023	LLUR SH, Abtl. 7	aktiv		32	53.902947075542514	9.072052696459615	53:54:10.6	9:4:19.4
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 99,5dB(A) nachts	2000	kW Nennleist. Rotor.	504779	5972960	20122007	26112010	in Betrieb	51011003790	0005	3012023	LLUR SH, Abtl. 7	aktiv		32	53.90504986737017	9.072741261041946	53:54:18.2	9:4:21.9
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 103,4dB(A) nachts	2000	kW Nennleist. Rotor.	505288	5972265	20122007	26112010	in Betrieb	51011003791	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.898798225197474	9.080476747046626	53:53:55.7	9:4:49.7
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A)tags; 103,8dB(A) nachts	2000	kW Nennleist. Rotor.	505073	5972355	20122007	26112010	in Betrieb	51011003792	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.89960929915933	9.077206210516492	53:53:58.6	9:4:37.9
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 102,5dB(A) nachts	2000	kW Nennleist. Rotor.	504848	5972436	20122007	26112010	in Betrieb	51011003793	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.900339485046594	9.073783211468639	53:54:1.2	9:4:25.6
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A)tags; 102,5 dB(A) nachts	2000	kW Nennleist. Rotor.	505586	5972389	20122007	26112010	in Betrieb	51011003794	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.89990961916102	9.085014191436862	53:53:59.7	9:5:6.1
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 102,5dB(A) nachts	2000	kW Nennleist. Rotor.	505371	5972480	20122007	26112010	in Betrieb	51011003795	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.90072980462088	9.081743673685521	53:54:2.6	9:4:54.3
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 102,5dB(A) nachts	2000	kW Nennleist. Rotor.	505159	5972565	20122007	26112010	in Betrieb	51011003796	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.901495942738116	9.07851858583826	53:54:5.4	9:4:42.7
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 102,5dB(A) nachts	2000	kW Nennleist. Rotor.	504945	5972648	20122007	26112010	in Betrieb	51011003797	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.902244037142	9.075262907619162	53:54:8.1	9:4:30.9
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104 dB(A) tags; 99,5dB(A) nachts	2000	kW Nennleist. Rotor.	504517	5972784	20122007	26112010	in Betrieb	51011003798	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.90347031926982	9.068750759292644	53:54:12.5	9:4:7.5
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags;  99,5 dB(A) nachts	2000	kW Nennleist. Rotor.	505216	5972790	20122007	26112010	in Betrieb	51011003798	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	53.90351768478539	9.079389943520228	53:54:12.7	9:4:45.8
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 99,5dB(A) nachts	2000	kW Nennleist. Rotor.	505679	5972602	20122007	26112010	in Betrieb	51011003799	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.901823064682006	9.086433522253449	53:54:6.6	9:5:11.2
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 99,5dB(A) nachts	2000	kW Nennleist. Rotor.	505470	5972690	20122007	26112010	in Betrieb	51011003800	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.90261626113693	9.083254150104988	53:54:9.4	9:4:59.7
Dithmarschen	Brunsbüttel	Enercon 82	Enercon	98	82	104dB(A) tags; 99,5 dB(A) nachts	2000	kW Nennleist. Rotor.	504997	5972878	20122007	26112010	in Betrieb	51011003801	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.90431079110447	9.07605810175595	53:54:15.5	9:4:33.8
Dithmarschen	Brunsbüttel	WKA Enercon E-82 E2	Enercon	78	82	105,0 dB(A) 96,1 dB(A)	2300	kW Nennleist. Rotor.	504835	5973788	7042014	29072014	in Betrieb	51011003802	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.912491451078054	9.073606720945062	53:54:45.0	9:4:25.0
Dithmarschen	Brunsbüttel	WKA 1 Enercon E-115	Enercon	92	115,7	107,0 dB(A) / 96,0 dB(A)	3000	kW Nennleist. Rotor.	508615	5976247	28122016	18082017	in Betrieb	51011003803	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93454390549633	9.131221574204819	53:56:4.4	9:7:52.4
Dithmarschen	Brunsbüttel	WKA 2 Enercon E-101	Enercon	99	101	107,5 dB(A) / 97,0 dB(A)	3050	kW Nennleist. Rotor.	508950	5976325	28122016	28072017	in Betrieb	51011003803	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93523928605924	9.136326481768814	53:56:6.9	9:8:10.8
Dithmarschen	Brunsbüttel	WKA 3 Enercon E-101	Enercon	99	101	107,5 dB(A) / 102,0 dB(A)	3050	kW Nennleist. Rotor.	509206	5976057	28122016	25072017	in Betrieb	51011003803	0003	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93282601605145	9.140217787980328	53:55:58.2	9:8:24.8
Dithmarschen	Brunsbüttel	WKA 4 Enercon E-115	Enercon	92	115,7	107,0 dB(A) / 101,8 dB(A)	3000	kW Nennleist. Rotor.	509371	5975633	28122016	31072017	in Betrieb	51011003803	0004	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92901214687901	9.142717913410147	53:55:44.4	9:8:33.8
Dithmarschen	Brunsbüttel	WKA 5 Enercon E-115	Enercon	92	115,7	107,0 dB(A) / 105,4 dB(A)	3000	kW Nennleist. Rotor.	509655	5975442	28122016	28072017	in Betrieb	51011003803	0005	3012023	LLUR SH, Abtl. 7	aktiv		32	53.927290222499245	9.147037110900245	53:55:38.2	9:8:49.3
Dithmarschen	Brunsbüttel	WKA Senvion 3.2M 114	Senvion	93	114	104,2 dB(A) 101,4 dB(A)	3200	kW Nennleist. Rotor.	507680	5974918	6042017	31122020	in Betrieb	51011003805	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92261355922986	9.116946520792839	53:55:21.4	9:7:1.0
Dithmarschen	Brunsbüttel	Nordex N100	Nordex	100	99,8	105,5 dB(A) / 101,5 dB(A)	3300	kW Nennleist. Rotor.	507473	5975551	13042015	13062016	in Betrieb	51011003807	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92830599853719	9.113809928650502	53:55:41.9	9:6:49.7
Dithmarschen	Brunsbüttel	WKA 3 Nordex N100	Nordex	100	99,8	105,5 dB(A) / 101,5 dB(A)	3300	kW Nennleist. Rotor.	507784	5975256	13042015	29062016	in Betrieb	51011003808	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.925649954894915	9.118538774242907	53:55:32.3	9:7:6.7
Dithmarschen	Brunsbüttel	WKA 2 Nordex N100/3300	Nordex	100	99,8	105,5dB(A) / 104,4dB(A)	3300	kW Nennleist. Rotor.	508202	5975756	2062015	28062016	in Betrieb	51011003810	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93013750603556	9.12491769600877	53:55:48.5	9:7:29.7
Dithmarschen	Brunsbüttel	WKA 4 Nordex N100 3,3MW	Nordex	100	99,8	105,5 dB(A) / 103,5dB(A)	3300	kW Nennleist. Rotor.	508500	5975298	2062015	30062016	in Betrieb	51011003811	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92601619497246	9.129443530760884	53:55:33.7	9:7:46.0
Dithmarschen	Brunsbüttel	WKA 3 Nordex N100/3,3MW	Nordex	100	99,8	105,5db(A) / 101,0dB(A)	3300	kW Nennleist. Rotor.	508102	5975368	2062015	30062016	in Betrieb	51011003814	0003	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92665173468217	9.123384399107998	53:55:35.9	9:7:24.2
Dithmarschen	Brunsbüttel	WKA 2 Nordex N100	Nordex	100	99,8	105,5 dB(A) / 101,5  dB(A)	3300	kW Nennleist. Rotor.	507463	5975236	13042015	22062016	in Betrieb	51011003827	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92547491971056	9.113649942907019	53:55:31.7	9:6:49.1
Dithmarschen	Brunsbüttel	WKA Nordex133/4.8 STE (NH 110 m)	Nordex	110	133		4800	kW Nennleist. Rotor.	506856	5976314			im Gen.Verf.	51011003836	0001	3012023	LLUR SH, Abtl. 7	inaktiv		32	53.93517238252865	9.10443047510151	53:56:6.6	9:6:15.9
Dithmarschen	Brunsbüttel	Nordex133/4.8 STE	Nordex	125,4	133		4800	kW Nennleist. Rotor.	506601	5976099			im Gen.Verf.	51011003836	0002	3012023	LLUR SH, Abtl. 7	inaktiv		32	53.93324327602593	9.10054168087776	53:55:59.7	9:6:2.0
Dithmarschen	Brunsbüttel	WKA Nordex133/4.8 STE (NH 110 m)	Nordex	110	133		4800	kW Nennleist. Rotor.	506257	5975920			im Gen.Verf.	51011003836	0003	3012023	LLUR SH, Abtl. 7	inaktiv		32	53.93163869424423	9.095298463147351	53:55:53.9	9:5:43.1
Dithmarschen	Brunsbüttel	WKA Nordex133/4.8 STE (NH 125,4 m)	Nordex	125,4	133		4800	kW Nennleist. Rotor.	506846	5975785			im Gen.Verf.	51011003836	0004	3012023	LLUR SH, Abtl. 7	inaktiv		32	53.93041786098019	9.104266302770123	53:55:49.5	9:6:15.4
Dithmarschen	Brunsbüttel	Nordex133/4.8 STE (NH 125,4 m)	Nordex	125,4	133		4800	kW Nennleist. Rotor.	506540	5975802			im Gen.Verf.	51011003836	0005	3012023	LLUR SH, Abtl. 7	inaktiv		32	53.930574612286264	9.099606217537563	53:55:50.1	9:5:58.6
Dithmarschen	Brunsbüttel	WKA Nordex133/4.8 STE (NH 125,4 m)	Nordex	125,4	133		4800	kW Nennleist. Rotor.	506830	5975479			im Gen.Verf.	51011003836	0006	3012023	LLUR SH, Abtl. 7	inaktiv		32	53.92766774142998	9.104015780524643	53:55:39.6	9:6:14.5
Dithmarschen	Brunsbüttel	Repower MD 70/1,5MW	REpower	65	70	104	1500	kW Nennleist. Rotor.	512174	5971396	7102003	18052004	in Betrieb	51011515468	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.89087165663482	9.185238077975226	53:53:27.1	9:11:6.9
Dithmarschen	Brunsbüttel	Repower MD 70/1,5MW	REpower	65	70	104	1500	kW Nennleist. Rotor.	512539	5971405	7102003	18052004	in Betrieb	51011515468	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	53.890943851622765	9.190792207795653	53:53:27.4	9:11:26.9
Dithmarschen	Brunsbüttel	AN Bonus 37	AN BONUS	42,3	37	99	500	kW Nennleist. Rotor.	511982	5971375	18101993	17021994	in Betrieb	51011515470	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.890687379777695	9.182315824722835	53:53:26.5	9:10:56.3
Dithmarschen	Brunsbüttel	Vestas V80 2,0MW	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506117	5975955	7072003	31122004	in Betrieb	51011515473	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93195494734842	9.093166869550164	53:55:55.0	9:5:35.4
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506311	5975797	7072003	31122004	in Betrieb	51011515473	0002	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93053251386853	9.096118379140066	53:55:49.9	9:5:46.0
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506518	5975637	7072003	31122004	in Betrieb	51011515473	0003	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92909186812704	9.099267632072241	53:55:44.7	9:5:57.4
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506772	5975360	7072003	31122004	in Betrieb	51011515473	0004	3012023	LLUR SH, Abtl. 7	aktiv		32	53.926598929647014	9.103129848992092	53:55:35.8	9:6:11.3
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506990	5975522	7072003	31122004	in Betrieb	51011515473	0005	3012023	LLUR SH, Abtl. 7	aktiv		32	53.928052090978845	9.106453439442674	53:55:41.0	9:6:23.2
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506804	5975689	7072003	31122004	in Betrieb	51011515473	0006	3012023	LLUR SH, Abtl. 7	aktiv		32	53.92955556578821	9.103624495940236	53:55:46.4	9:6:13.0
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506538	5975926	7072003	31122004	in Betrieb	51011515473	0007	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93168915045537	9.099578410052588	53:55:54.1	9:5:58.5
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506357	5976107	7072003	31122004	in Betrieb	51011515473	0008	3012023	LLUR SH, Abtl. 7	aktiv		32	53.933318233332464	9.096825420910706	53:55:59.9	9:5:48.6
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506587	5976235	7072003	31122004	in Betrieb	51011515473	0009	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93446582273862	9.100331375437547	53:56:4.1	9:6:1.2
Dithmarschen	Brunsbüttel	Vestas V80	Vestas	60	80	101,5	2000	kW Nennleist. Rotor.	506850	5976338	7072005	31122004	in Betrieb	51011515473	0010	3012023	LLUR SH, Abtl. 7	aktiv		32	53.93538817394343	9.104339621510363	53:56:7.4	9:6:15.6
Dithmarschen	Brunsbüttel	Enercon E66 1,5 MW	Enercon	68	66	103	1500	kW Nennleist. Rotor.	513990	5971806	11091995	27031997	in Betrieb	51011515479	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.894510930851176	9.212888640079969	53:53:40.2	9:12:46.4
Dithmarschen	Brunsbüttel	Micon M2300 1MW	Micon	60	54	103,7 dB(A)	1000	kW Nennleist. Rotor.	513562	5971428	25021997	1041997	in Betrieb	51011515487	0001	3012023	LLUR SH, Abtl. 7	aktiv		32	53.89112483074911	9.206358987830757	53:53:28.0	9:12:22.9
