KREIS	Gemeinde	Anlage	Inbetriebnahme	Leistung	Nabenhöhe	Rotordurchmesser	Ostwert	Nordwert	Status
Dithmarschen	Trennewurth	0002 - WKA  G10/2009/112 Enercon E-70/E4	2014	2300 kW Nennleist. Rotor.	64	71	32500442	5982801	in Betrieb
Dithmarschen	Trennewurth	0002 - WKA Typ Vestas V-66	2002	1650 kW Nennleist. Rotor.	67	66	32500938	5983242	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA Typ Vestas V-66	2001	1650 kW Nennleist. Rotor.	67	66	32500270	5983385	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA Typ Vestas V-47	2001	660 kW Nennleist. Rotor.	65	47	32500746	5982739	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA Vestas V80/2MW 102,8 dB	2002	2000 kW Nennleist. Rotor.	60	80	32500469	5983165	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA Typ Vestas V80- 2MW	2008	2000 kW Nennleist. Rotor.	60	80	32500525	5982292	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA Typ Vestas V 80/ 2,0 MW	2008	2000 kW Nennleist. Rotor.	60	80	32500625	5982517	in Betrieb
Dithmarschen	Trennewurth	0002 - WKA 2 G10/2018/006 E70		2300 kW Nennleist. Rotor.	64	71	32500981	5982507	vor Inbetriebnahme
Dithmarschen	Trennewurth	0001 - WKA Typ Euroturbine 550	1994	550 kW Nennleist. Rotor.	42	41,5	32501060	5982512	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA Typ Enercon E-70 E 4	2008	2300 kW Nennleist. Rotor.	64	71	32500835	5982322	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA Typ E 70, E4 / 2300 kW G10/2010/005	2012	2300 kW Nennleist. Rotor.	64	71	32500743	5983141	in Betrieb
Dithmarschen	Trennewurth	0001 - WKA G10/2013/090 Vensys 70	2014	1500 kW Nennleist. Rotor.	65	70	32501026	5982866	in Betrieb
Dithmarschen	Volsemenhusen	0001 - WKA 1 G10/2017/101V E115-TES		3200 kW Nennleist. Rotor.	92	115,7	32504021	5982372	im Gen.Verf.
Dithmarschen	Volsemenhusen	0002 - WKA2 G10/2017/102V Scoping		3200 kW Nennleist. Rotor.			32504303	5982398	im Gen.Verf.
Dithmarschen	Volsemenhusen	0002 - WKA G10/2019/009V Senvion 4.2M140		4200 kW Nennleist. Rotor.	110	140	32505119	5981142	im Gen.Verf.
Dithmarschen	Volsemenhusen	0001 - WKA G10/2019/008V Senvion 4.2M140		4200 kW Nennleist. Rotor.	130	140	32505096	5981493	im Gen.Verf.
Dithmarschen	Volsemenhusen	0003 - WKA / Vestas V 112 / 3000 kW G10/2009/046	2011	3000 kW Nennleist. Rotor.	84	112	32505042	5982442	in Betrieb
Dithmarschen	Volsemenhusen	0001 - WKA G10/2016/112 Enercon E115		3000 kW Nennleist. Rotor.	92	115	32502863	5981707	vor Inbetriebnahme
Dithmarschen	Volsemenhusen	0003 - WKA Vestas V39	2011	500 kW Nennleist. Rotor.	53	39	32505569	5981207	in Betrieb
Dithmarschen	Volsemenhusen	0001 - WKA 1 Vestas V112 3MW G10/2012/109	2013	3000 kW Nennleist. Rotor.	94	112	32505085	5982077	in Betrieb
Dithmarschen	Volsemenhusen	0002 - WKA 2 Vestas V112 3MW G10/2012/110	2013	3000 kW Nennleist. Rotor.	94	112	32505522	5982147	in Betrieb
Dithmarschen	Volsemenhusen	0002 - WKA 4 Vestas V112 3MW G10/2012/106	2013	3000 kW Nennleist. Rotor.	94	112	32506331	5978960	in Betrieb
Dithmarschen	Volsemenhusen	0003 - WKA 5 Vestas V112 3MW G10/2012/107	2013	3000 kW Nennleist. Rotor.	94	112	32505832	5978736	in Betrieb
Dithmarschen	Volsemenhusen	0001 - WKA 3 Vestas V112 3MW G10/2012/105	2013	3000 kW Nennleist. Rotor.	94	112	32505928	5979249	in Betrieb
Dithmarschen	Wesselburen	0001 - WKA Enercon E-70 E-4 mit 2 MW	2010	2000 kW Nennleist. Rotor.	64	71	32495732	6004441	in Betrieb
Dithmarschen	Wesselburen	0002 - WKA Enercon E-70 E-4 mit 2 MW	2009	2000 kW Nennleist. Rotor.	64	71	32495913	6004291	in Betrieb
Dithmarschen	Wesselburen	0001 - WKA Enercon E-70 E-4 mit 2,0 MW	2009	2000 kW Nennleist. Rotor.	64	70	32497398	6004648	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0002 - WKA Enercon E-115 G10/2015/089	2016	3000 kW Nennleist. Rotor.	149	116	32496651	6002132	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0001 - WKA Enercon E-115 G10/2015/088	2016	3000 kW Nennleist. Rotor.	149	116	32496971	6002332	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0001 - WKA 1 E70 E4 / 2300 kW - G10/2009/108	2012	2300 kW Nennleist. Rotor.	64	71	32495596	6004204	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0001 - WKA E-70 E4 G10/2012/064	2014	2300 kW Nennleist. Rotor.	64	71	32495928	6004592	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0005 - WKA 5 Enercon E 82 E2 2,3 MW G10/2013/097	2014	2300 kW Nennleist. Rotor.	84,5	82	32497335	6004233	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0001 - WKA 1 Enercon E 82 E2 2,3 MW G10/2013/093	2014	2300 kW Nennleist. Rotor.	84,5	82	32496972	6005047	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0002 - WKA 2 Enercon E 82 E2 2,3 MW G10/2013/094	2014	2300 kW Nennleist. Rotor.	84,5	82	32497031	6004777	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0003 - WKA 3 Enercon E 82 E2 2,3 MW G10/2013/095	2014	2300 kW Nennleist. Rotor.	84,5	82	32496963	6004522	in Betrieb
Dithmarschen	Wesselburener Deichhausen	0004 - WKA 4 Enercon E 82 E2 2,3 MW G10/2013/096	2014	2300 kW Nennleist. Rotor.	84,5	82	32497203	6004447	in Betrieb
Dithmarschen	Wesselburenerkoog	0002 - WKA Siemens SWT-3.2-113 G10/2015/057		3200 kW Nennleist. Rotor.	92,5	113	32490943	6009941	im Gen.Verf.
Dithmarschen	Wesselburenerkoog	0004 - WKA Siemens SWT-3.2-113 G10/2015/059		3200 kW Nennleist. Rotor.	92,5	113	32491126	6009646	im Gen.Verf.
Dithmarschen	Wesselburenerkoog	0003 - WKA Siemens SWT-3.2-113 G10/2015/058		3200 kW Nennleist. Rotor.	92,5	113	32490890	6010236	im Gen.Verf.
Dithmarschen	Wesselburenerkoog	0001 - WKA Siemens SWT-3.2-113 G10/2015/056		3200 kW Nennleist. Rotor.	92,5	113	32490606	6009897	im Gen.Verf.
Dithmarschen	Wesselburenerkoog	0001 - WKA E-70 E4 - G10/2009/020	2011	2300 kW Nennleist. Rotor.	64	71	32494139	6011489	in Betrieb
Dithmarschen	Wesselburenerkoog	0003 - WKA Typ Jacobs JE 41/500	2001	500 kW Nennleist. Rotor.	50	41	32491184	6010186	in Betrieb
Dithmarschen	Wesselburenerkoog	0001 - WKA Typ Jacobs JE 41/500	2000	500 kW Nennleist. Rotor.	50	41	32491404	6009791	in Betrieb
Dithmarschen	Wesselburenerkoog	0002 - WKA Typ Jacobs JE 41/500	2000	500 kW Nennleist. Rotor.	50	41	32491209	6009936	in Betrieb
Dithmarschen	Wesselburenerkoog	0001 - WKA Typ Enercon E-70	2010	2300 kW Nennleist. Rotor.	64	71	32493076	6010234	in Betrieb
Dithmarschen	Wesselburenerkoog	0005 - WKA E-70 E4 G10/2009/024	2012	2300 kW Nennleist. Rotor.	64	71	32493703	6010774	in Betrieb
Dithmarschen	Wesselburenerkoog	0007 - WKA E-70 E4 G10/2009/026	2011	2300 kW Nennleist. Rotor.	64	71	32493410	6010473	in Betrieb
Dithmarschen	Wesselburenerkoog	0003 - WKA E-70 E4 G10/2009/022	2012	2300 kW Nennleist. Rotor.	64	71	32493899	6011144	in Betrieb
Dithmarschen	Wesselburenerkoog	0004 - WKA E-70 E4 G10/2009/023	2012	2300 kW Nennleist. Rotor.	64	71	32493805	6010957	in Betrieb
Dithmarschen	Wesselburenerkoog	0002 - WKA E-70 E4 G10/2009/021	2012	2300 kW Nennleist. Rotor.	64	71	32494016	6011319	in Betrieb
Dithmarschen	Wesselburenerkoog	0006 - WKA E-70 E4 G10/2009/025	2011	2300 kW Nennleist. Rotor.	64	71	32493559	6010620	in Betrieb
Dithmarschen	Wesselburenerkoog	0001 - WKA E-70 E4 G10/2011/098	2013	2300 kW Nennleist. Rotor.	64	71	32493244	6010332	in Betrieb
Dithmarschen	Wesselburenerkoog	0001 - WKA 1 Enercon E-92 G10/2014/109	2015	2350 kW Nennleist. Rotor.	104	92	32492770	6010298	in Betrieb
Dithmarschen	Wesselburenerkoog	0002 - WKA 2 Enercon E-92 G10/2014/110	2016	2350 kW Nennleist. Rotor.	104	92	32493048	6010533	in Betrieb
Dithmarschen	Nordermeldorf	0001 - WKA Siemens SWT 3.3-130 G10/2015/147V 		3300 kW Nennleist. Rotor.	115	130	32501523	5997528	im Gen.Verf.
Dithmarschen	Nordermeldorf	0002 - WKA Siemens SWT 3.3-130 G10/2015/148V 		3300 kW Nennleist. Rotor.	115	130	32501834	5997288	im Gen.Verf.
Dithmarschen	Nordermeldorf	0003 - WKA Siemens SWT 3.3-130 G10/2015/149V 		3300 kW Nennleist. Rotor.	115	130	32501787	5996899	im Gen.Verf.
Dithmarschen	Nordermeldorf	0004 - WKA Siemens SWT 3.3-130 G10/2015/150V 		3300 kW Nennleist. Rotor.	115	130	32502156	5996531	im Gen.Verf.
Dithmarschen	Nordermeldorf	0005 - WKA Siemens Gamesa G10/2019/140V		6000 kW Nennleist. Rotor.	102,5	155	32502900	5998566	im Gen.Verf.
Dithmarschen	Nordermeldorf	0007 - WKA Siemens Gamesa G10/2019/142V		6000 kW Nennleist. Rotor.	115	170	32503517	5998233	im Gen.Verf.
Dithmarschen	Nordermeldorf	0008 - WKA Siemens Gamesa G10/2019/143V		4300 kW Nennleist. Rotor.	85	130	32502878	5998027	im Gen.Verf.
Dithmarschen	Nordermeldorf	0001 - WKA Siemens Gamesa G10/2019/136V		6000 kW Nennleist. Rotor.	122,5	155	32502004	5998432	im Gen.Verf.
Dithmarschen	Nordermeldorf	0009 - WKA Siemens Gamesa G10/2019/144V		4300 kW Nennleist. Rotor.	85	130	32501715	5998519	im Gen.Verf.
Dithmarschen	Nordermeldorf	0004 - WKA Siemens Gamesa G10/2019/139V		6000 kW Nennleist. Rotor.	122,5	155	32502717	5998280	im Gen.Verf.
Dithmarschen	Nordermeldorf	0006 - WKA Siemens Gamesa G10/2019/141V		6000 kW Nennleist. Rotor.	115	170	32503300	5998564	im Gen.Verf.
Dithmarschen	Nordermeldorf	0003 - WKA Siemens Gamesa G10/2019/138V		6000 kW Nennleist. Rotor.	122,5	155	32502397	5998482	im Gen.Verf.
Dithmarschen	Nordermeldorf	0002 - WKA Siemens Gamesa G10/2019/137V		6000 kW Nennleist. Rotor.	122,5	155	32502077	5998782	im Gen.Verf.
Dithmarschen	Tensbüttel-Röst	0002 - WKA V117 G10/2015/188		3300 kW Nennleist. Rotor.	116,5	117	32516979	5995394	im Gen.Verf.
Dithmarschen	Tensbüttel-Röst	0001 - WKA V117 G10/2015/187		3300 kW Nennleist. Rotor.	116,5	117	32516953	5995888	im Gen.Verf.
Dithmarschen	Tensbüttel-Röst	0003 - WKA V117 G10/2015/189		3300 kW Nennleist. Rotor.	116,5	117	32516831	5995074	im Gen.Verf.
Dithmarschen	Tensbüttel-Röst	0004 - WKA V117 G10/2015/190		3300 kW Nennleist. Rotor.	116,5	117	32517095	5994821	im Gen.Verf.
Dithmarschen	Tensbüttel-Röst	0003 - WKA Vestas V112 3.3 (G10/2013/158)	2014	3300 kW Nennleist. Rotor.	119	112	32517737	5995094	in Betrieb
Dithmarschen	Tensbüttel-Röst	0001 - WKA Vestas V112 3.3 (G10/2013/156)	2014	3300 kW Nennleist. Rotor.	119	112	32517473	5995779	in Betrieb
Dithmarschen	Tensbüttel-Röst	0002 - WKA Vestas V112 3.3 (G10/2013/157)	2014	3300 kW Nennleist. Rotor.	119	112	32517589	5995430	in Betrieb
Dithmarschen	Tensbüttel-Röst	0001 - WKA V112 3.3 G10/2015/031	2017	3300 kW Nennleist. Rotor.	119	112	32517284	5996297	in Betrieb
Dithmarschen	Tensbüttel-Röst	0002 - WKA 2 V112 3,3 G10/2015/099	2017	3300 kW Nennleist. Rotor.	119	112	32517378	5996039	in Betrieb
Dithmarschen	Süderdorf	0001 - WKA Senvion 3.2M 114 VG G10/2015/037	2016	3200 kW Nennleist. Rotor.	93	114	32521464	6006070	in Betrieb
Dithmarschen	Süderdorf	0002 - WKA Senvion 3.6M 114 NES G10/2015/039		3600 kW Nennleist. Rotor.	93	114	32521685	6006536	vor Inbetriebnahme
Dithmarschen	Süderdorf	0001 - WKA Senvion 4.2M118 NESG10/2015/038		4200 kW Nennleist. Rotor.	91	118	32521950	6006126	vor Inbetriebnahme
Dithmarschen	Süderdorf	0001 - WKA Enercon E-92 TES G10/2019/086		2350 kW Nennleist. Rotor.	104	92	32520037	6005745	im Gen.Verf.
Dithmarschen	Süderdorf	0001 - WKA Nordex N149 G10/2019/087		4500 kW Nennleist. Rotor.	105	149	32518915	6006458	im Gen.Verf.
Dithmarschen	Süderdorf	0005 - WKA 5 Vestas V112-3.3	2014	3300 kW Nennleist. Rotor.	94	112	32520834	6006057	in Betrieb
Dithmarschen	Süderdorf	0004 - WKA 4 Vestas V112-3.3	2014	3300 kW Nennleist. Rotor.	94	112	32520555	6006340	in Betrieb
Dithmarschen	Süderdorf	0003 - WKA 3 Vestas V112-3.3	2014	3300 kW Nennleist. Rotor.	94	112	32520756	6005699	in Betrieb
Dithmarschen	Süderdorf	0002 - WKA 2 Vestas V112-3.3	2014	3300 kW Nennleist. Rotor.	94	112	32520465	6005923	in Betrieb
Dithmarschen	Süderdorf	0006 - WKA 6 Vestas V112-3.3	2014	3300 kW Nennleist. Rotor.	94	112	32521106	6005795	in Betrieb
Dithmarschen	Süderdorf	0001 - WKA 1  Vestas V112-3.3	2014	3300 kW Nennleist. Rotor.	94	112	32520197	6006137	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA 1 Enercon E 70 E4 G10/2015/093	2016	2300 kW Nennleist. Rotor.	113,5	71	32495942	6008608	in Betrieb
Dithmarschen	Oesterwurth	0002 - WKA 2 Enercon E 70 E4 G10/2015/094	2016	2300 kW Nennleist. Rotor.	113,5	71	32496154	6008661	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA 1 V112  G10/2016/111	2017	3300 kW Nennleist. Rotor.	119	112	32500338	6006448	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA 1 Enercon E 70 G10/2016/118	2017	2300 kW Nennleist. Rotor.	113,5	71	32496575	6005562	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Typ Vestas V-66	2003	1750 kW Nennleist. Rotor.	67	66	32496533	6009183	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Typ Vestas V-52	2001	850 kW Nennleist. Rotor.	65	52	32496454	6008963	in Betrieb
Dithmarschen	Oesterwurth	0002 - WKA Typ Vestas V-52/850	2000	850 kW Nennleist. Rotor.	65	52	32496250	6008831	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Typ Vestas V-52/850	2000	850 kW Nennleist. Rotor.	65	52	32496170	6009021	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Typ Micon M1500-500/125	1999	500 kW Nennleist. Rotor.	50	43	32497256	6005564	in Betrieb
Dithmarschen	Oesterwurth	0002 - WKATyp Enercon E-66/18.70	2002	1800 kW Nennleist. Rotor.	65	70	32497547	6005166	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA E-53	2010	800 kW Nennleist. Rotor.	73	53	32497401	6005339	in Betrieb
Dithmarschen	Oesterwurth	0003 - WKA 3 Enercon E-70 E4 G10/2016/235		2300 kW Nennleist. Rotor.	64	71	32497525	6005085	vor Inbetriebnahme
Dithmarschen	Oesterwurth	0002 - WKA Enercon E-48 G10/2009/117	2010	800 kW Nennleist. Rotor.	75,6	48	32496089	6009168	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Vestas V42-600 kW	2008	600 kW Nennleist. Rotor.	53	42	32496329	6009151	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Typ REpower MM 82 G10/2009/040	2010	2000 kW Nennleist. Rotor.	59	82	32495968	6008871	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Enercon E-70 E-4 mit 2 MW	2009	2000 kW Nennleist. Rotor.	64	70	32497298	6005151	in Betrieb
Dithmarschen	Oesterwurth	0002 - WKA Enercon E-70 E-4 mit 2 MW	2009	2000 kW Nennleist. Rotor.	64	70	32497380	6004902	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA 11 E70 E4 / 2300 kW G10/2009/106	2010	2300 kW Nennleist. Rotor.	64	71	32497690	6005011	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Typ Enercon E-70 E4	2011	2300 kW Nennleist. Rotor.	64	71	32496685	6009498	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Enercon E-101 3,05 MW	2014	3050 kW Nennleist. Rotor.	99	101	32496752	6005501	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA 1 Enercon E-70 E4	2015	2300 kW Nennleist. Rotor.	113,5	71	32497640	6004787	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA 1 Vestas V112 3,3MW G10/2014/035	2015	3300 kW Nennleist. Rotor.	119	112	32500661	6007144	in Betrieb
Dithmarschen	Oesterwurth	0002 - WKA 2 Vestas V112 3,3MW G10/2014/036	2015	3300 kW Nennleist. Rotor.	119	112	32500479	6006890	in Betrieb
Dithmarschen	Oesterwurth	0003 - WKA 3 Vestas V112 3,3MW G10/2014/037	2015	3300 kW Nennleist. Rotor.	119	112	32500180	6006807	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA Enercon E-101 G10/2014/053	2016	3050 kW Nennleist. Rotor.	99	101	32497055	6005464	in Betrieb
Dithmarschen	Oesterwurth	0001 - WKA E-53 G10/2014/182	2000	800 kW Nennleist. Rotor.	73	53	32496399	6008730	in Betrieb
Hzgt.Lauenburg	Bälau	0001 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607587	5944036	in Betrieb
Hzgt.Lauenburg	Bälau	0006 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607013	5943633	in Betrieb
Hzgt.Lauenburg	Bälau	0004 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607587	5943795	in Betrieb
Hzgt.Lauenburg	Bälau	0005 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32606892	5943770	in Betrieb
Hzgt.Lauenburg	Bälau	0003 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607214	5943915	in Betrieb
Hzgt.Lauenburg	Bälau	0011 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607435	5943364	in Betrieb
Hzgt.Lauenburg	Bälau	0016 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607793	5943005	in Betrieb
Hzgt.Lauenburg	Bälau	0015 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607451	5943024	in Betrieb
Hzgt.Lauenburg	Bälau	0014 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32606766	5943048	in Betrieb
Hzgt.Lauenburg	Bälau	0013 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607121	5943034	in Betrieb
Hzgt.Lauenburg	Bälau	0012 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607694	5943275	in Betrieb
Hzgt.Lauenburg	Bälau	0010 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607186	5943363	in Betrieb
Hzgt.Lauenburg	Bälau	0009 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32606827	5943330	in Betrieb
Hzgt.Lauenburg	Bälau	0008 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607799	5943530	in Betrieb
Hzgt.Lauenburg	Bälau	0007 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607289	5943682	in Betrieb
Hzgt.Lauenburg	Bälau	0002 - WKA Typ NEG Micon NM 52/900	2002	900 kW Nennleist. Rotor.	73,8	52,2	32607841	5943882	in Betrieb
Hzgt.Lauenburg	Breitenfelde	0004 - WKA 4	2017	2350 kW Nennleist. Rotor.	138,38	92	32609104	5939054	in Betrieb
Hzgt.Lauenburg	Breitenfelde	0003 - WKA 3	2015	2350 kW Nennleist. Rotor.	138,38	92	32609224	5939323	in Betrieb
Hzgt.Lauenburg	Breitenfelde	0002 - WKA 2	2015	2350 kW Nennleist. Rotor.	138,38	92	32609121	5939596	in Betrieb
Hzgt.Lauenburg	Breitenfelde	0005 - WKA 5	2015	2350 kW Nennleist. Rotor.	138,38	92	32609426	5939102	in Betrieb
Hzgt.Lauenburg	Breitenfelde	0001 - WKA 1	2017	2350 kW Nennleist. Rotor.	138,38	92	32608896	5939387	in Betrieb
Hzgt.Lauenburg	Breitenfelde	0007 - WKA 7		3000 kW Nennleist. Rotor.	149	115,7	32607880	5939163	im Gen.Verf.
Hzgt.Lauenburg	Breitenfelde	0006 - WKA 6		3000 kW Nennleist. Rotor.	149	115,7	32607474	5939314	im Gen.Verf.
Hzgt.Lauenburg	Breitenfelde	0009 - WKA 9		3000 kW Nennleist. Rotor.	149	115,7	32608222	5939477	im Gen.Verf.
Hzgt.Lauenburg	Breitenfelde	0008 - WKA 8		3000 kW Nennleist. Rotor.	149	115,7	32608155	5938818	im Gen.Verf.
Hzgt.Lauenburg	Breitenfelde	0010 - WKA 10		3000 kW Nennleist. Rotor.	149	115,7	32608344	5939166	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0007 - WKA7 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592617	5927388	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0006 - WKA6 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592385	5927142	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0009 - WKA8 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592532	5927722	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0002 - WKA2 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592695	5928664	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0003 - WKA3 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592987	5928338	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0001 - WKA1 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592183	5928421	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0004 - WKA4 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592768	5927972	im Gen.Verf.
Hzgt.Lauenburg	Dassendorf	0005 - WKA5 Nordex N117 2400 kW		2400 kW Nennleist. Rotor.	140,6	116,8	32592525	5928289	im Gen.Verf.
Hzgt.Lauenburg	Geesthacht	0003 - WKA - Windkraftanlage	1998	600 kW Nennleist. Rotor.	77	44	32587861	5921795	in Betrieb
Hzgt.Lauenburg	Geesthacht	0001 - WKA - Windkraftanlage	1994	600 kW Nennleist. Rotor.	77	44	32593064	5920154	in Betrieb
Hzgt.Lauenburg	Groß Schenkenberg	0001 - WKA Windkraftanlage	2003	600 kW Nennleist. Rotor.	77,65	44	32604838	5963248	in Betrieb
Hzgt.Lauenburg	Kastorf	0005 - WKA 5 Vestas V112 3075 kW	2014	3075 kW Nennleist. Rotor.	94	112	32602676	5958082	in Betrieb
Hzgt.Lauenburg	Kastorf	0004 - WKA 4 Vestas V112 3075 kW	2014	3075 kW Nennleist. Rotor.	94	112	32603602	5957953	in Betrieb
Hzgt.Lauenburg	Kastorf	0003 - WKA 3 Vestas V112 3075 kW	2014	3075 kW Nennleist. Rotor.	119	112	32602807	5957667	in Betrieb
Hzgt.Lauenburg	Kastorf	0002 - WKA 2 Vestas V112 3075 kW	2014	3075 kW Nennleist. Rotor.	119	112	32602340	5957621	in Betrieb
Hzgt.Lauenburg	Kastorf	0006 - WKA 6 Vestas V112 3075 kW	2014	3075 kW Nennleist. Rotor.	119	112	32603149	5957964	in Betrieb
Hzgt.Lauenburg	Basedow	0007 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603950	5920596	in Betrieb
Hzgt.Lauenburg	Basedow	0010 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603631	5919325	in Betrieb
Hzgt.Lauenburg	Basedow	0011 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603905	5919141	in Betrieb
Hzgt.Lauenburg	Basedow	0012 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32604160	5919703	in Betrieb
Hzgt.Lauenburg	Basedow	0013 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32604188	5919374	in Betrieb
Hzgt.Lauenburg	Basedow	0014 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32604310	5920402	in Betrieb
Hzgt.Lauenburg	Basedow	0001 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603695	5920811	in Betrieb
Hzgt.Lauenburg	Basedow	0002 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603487	5920570	in Betrieb
Hzgt.Lauenburg	Basedow	0003 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603751	5920417	in Betrieb
Hzgt.Lauenburg	Basedow	0004 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603729	5920079	in Betrieb
Hzgt.Lauenburg	Basedow	0005 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603827	5919721	in Betrieb
Hzgt.Lauenburg	Basedow	0006 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32604124	5920026	in Betrieb
Hzgt.Lauenburg	Basedow	0008 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32604072	5920321	in Betrieb
Hzgt.Lauenburg	Basedow	0009 - WKA Typ AN Bonus 1,3/62	2002	1300 kW Nennleist. Rotor.	68	62	32603466	5919552	in Betrieb
Hzgt.Lauenburg	Poggensee	0002 - WKA 2		4500 kW Nennleist. Rotor.	125	149	32605629	5943914	im Gen.Verf.
Hzgt.Lauenburg	Poggensee	0004 - WKA 4		4500 kW Nennleist. Rotor.	125	149	32606513	5943782	im Gen.Verf.
